date,tid,open,high,low,close,volume,mid,range,fac0,avg,s3,s7,s14,s21,s35,s49,s75,s100,s150,s200,s300,s400,s500,s600,s800,s1000,s1500,s2000,s3000,ma_close,ub,lb
2022-11-04/15:00:00,1,3071.9438,3072.4057,3068.3535,3070.7964,4147489700,3070.3796,4.0522,-101.863708,167.013168,1772.925128,1160.651943,820.7048595,670.1027118,519.0593286,438.6852,354.5850256,307.07964,250.7294761,217.1380958,177.2925128,153.53982,137.3301899,125.3647381,108.5690479,97.10710855,79.28762211,68.66509495,56.06481526,2990.241856,209.55136,-156.706949
2022-11-04/14:30:00,1,3071.3979,3073.0467,3068.9117,3072.3408,2686106700,3070.9792,4.135,-145.951077,235.510827,1773.816788,1161.235671,821.1176178,670.4397275,519.3203798,438.9058286,354.7633576,307.23408,250.8555759,217.2473014,177.3816788,153.61704,137.3992576,125.4277879,108.6236507,97.15594676,79.32749835,68.69962879,56.09301202,2987.231146,209.097222,-156.706949
2022-11-04/14:00:00,1,3073.491,3076.3274,3066.6951,3071.4885,2889222000,3071.51125,9.6323,211.721106,362.896259,1773.324712,1160.913532,820.889831,670.2537404,519.1763148,438.7840714,354.6649425,307.14885,250.7859859,217.1870347,177.3324712,153.574425,137.3611416,125.3929929,108.5935173,97.12899467,79.30549206,68.68057078,56.07745122,2984.148982,205.50056,-156.706949
2022-11-04/13:30:00,1,3061.3204,3081.5903,3061.3204,3073.2873,4631869000,3071.45535,20.2699,280.057428,394.809169,1774.36325,1161.593415,821.3705806,670.6462707,519.4803675,439.0410429,354.87265,307.32873,250.9328573,217.314229,177.436325,153.664365,137.4415863,125.4664286,108.6571145,97.18587772,79.35193687,68.72079317,56.11029266,2981.011173,199.309984,-156.706949
2022-11-04/11:30:00,1,3049.605,3062.0156,3046.0354,3060.3938,3552258100,3054.0255,15.9802,237.71527,361.031862,1766.919184,1156.72013,817.9246477,667.8326783,517.3009682,437.1991143,353.3838369,306.03938,249.8801074,216.4025209,176.6919184,153.01969,136.8649715,124.9400537,108.2012605,96.77814945,79.01902813,68.43248575,55.87489064,2978.102005,193.059687,-156.706949
2022-11-04/11:00:00,1,3040.2928,3049.5779,3036.2759,3049.5779,3052848800,3042.9269,13.302,210.661475,345.033931,1760.674621,1152.632104,815.0339769,665.4724554,515.4727475,435.6539857,352.1349243,304.95779,248.9969929,215.6377213,176.0674621,152.478895,136.3812697,124.4984964,107.8188606,96.43612066,78.7397628,68.19063487,55.67742022,2975.604252,187.526676,-156.706949
2022-11-04/10:30:00,1,3032.9974,3042.9615,3029.299,3040.4984,4337020500,3036.13025,13.6625,316.139694,346.283732,1755.43257,1149.200375,812.6073784,663.4911461,513.9380319,434.3569143,351.0865139,304.04984,248.2556548,214.9957037,175.543257,152.02492,135.9752222,124.1278274,107.4978518,96.14900166,78.50533112,67.98761108,55.51165199,2973.35731,182.178738,-156.706949
2022-11-04/10:00:00,1,2996.9971,3033.8209,2996.9971,3032.993,7683859200,3015.409,36.8238,282.750683,324.173507,1751.099325,1146.363601,810.6014759,661.8533336,512.6693877,433.2847143,350.219865,303.2993,247.6428414,214.4649918,175.1099325,151.64965,135.6395705,123.8214207,107.2324959,95.91166007,78.31154252,67.81978523,55.37462276,2971.513844,177.120518,-156.706949
2022-11-03/15:00:00,1,3001.4714,3002.178,2997.333,2997.8057,3193474300,2999.7555,4.845,158.415633,207.037536,1730.783928,1133.064052,801.1972744,654.1748352,506.7216484,428.2579571,346.1567856,299.78057,244.7698104,211.9768739,173.0783928,149.890285,134.0659466,122.3849052,105.988437,94.79893995,77.40301034,67.03297329,54.7321935,2970.219653,174.204997,-156.706949
2022-11-03/14:30:00,1,2995.9673,3001.4827,2990.5456,3001.325,2189201900,2996.01415,10.9371,163.685994,-19.173952,1732.815797,1134.394222,802.1378469,654.9428094,507.3165187,428.7607143,346.5631593,300.1325,245.0571601,212.225726,173.2815797,150.06625,134.2233345,122.52858,106.112863,94.91022998,77.49387828,67.11166723,54.79644683,2969.213564,184.790435,-156.706949
2022-11-03/14:00:00,1,2990.6833,2997.008,2989.0589,2995.853,1875868700,2993.03345,7.9491,181.71604,-83.194946,1729.656536,1132.326,800.6753934,653.7487211,506.3915819,427.979,345.9313072,299.5853,244.6103731,211.8387972,172.9656536,149.79265,133.9786192,122.3051866,105.9193986,94.73719015,77.35259184,66.98930959,54.69654224,2968.297905,184.790435,-160.497677
2022-11-03/13:30:00,1,2984.6423,2995.7724,2981.6661,2990.8866,2159994300,2988.71925,14.1063,-174.986085,-246.995076,1726.789184,1130.448878,799.3480671,652.6649638,505.5521071,427.2695143,345.3578367,299.08866,244.2048683,211.4876197,172.6789184,149.54433,133.756515,122.1024341,105.7438098,94.58013879,77.22435995,66.87825751,54.60586859,2967.48313,184.790435,-160.797199
2022-11-03/11:30:00,1,2994.2893,2995.8953,2984.0106,2984.4284,2179883700,2989.95295,11.8847,-206.123171,-184.814599,1723.06054,1128.007907,797.6220406,651.255669,504.460472,426.3469143,344.612108,298.44284,243.6775585,211.030956,172.306054,149.22142,133.4676955,121.8387792,105.515478,94.37591258,77.05760994,66.73384776,54.48795853,2966.706253,184.790435,-159.527999
2022-11-03/11:00:00,1,2995.4525,3003.7207,2994.0348,2994.1052,2692252400,2998.87775,9.6859,170.247959,-15.246145,1728.647443,1131.665394,800.2082742,653.3673199,506.0961498,427.7293143,345.7294886,299.41052,244.4676659,211.7152091,172.8647443,149.70526,133.9004552,122.2338329,105.8576045,94.68191986,77.30746384,66.95022759,54.66463192,2965.762724,184.790435,-161.925586
2022-11-03/10:30:00,1,2990.5347,3002.1965,2990.2886,2995.307,3512899200,2996.24255,11.9079,235.465596,6.041001,1729.341303,1132.119632,800.5294687,653.6295741,506.2992911,427.901,345.8682606,299.5307,244.5657924,211.8001891,172.9341303,149.76535,133.9542013,122.2828962,105.9000946,94.71992411,77.33849419,66.97710065,54.68657369,2964.7125,184.790435,-203.027227
